proteins	genes	gene_name	kcat	rxns	notes	stoicho
Q12122	YDL131W	YDL131W	0.617	r_0543	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.3.3.14)	1
P40495	YIL094C	YIL094C	17.0	r_0545	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=1.1.1.87)	1
P17423	YHR025W	YHR025W	40.8	r_0548	BRENDA+phyldist (tier=2, wc=0, phyl_d=2, ec=2.7.1.39)	1
P08465	YNL277W	YNL277W	9.6	r_0549	BRENDA+phyldist (tier=2, wc=0, phyl_d=2, ec=2.3.1.31)	1
P33734	YBR248C	YBR248C	6249.0	r_0563	BRENDA+phyldist (tier=2, wc=0, phyl_d=2, ec=3.5.1.2)	1
P50095	YLR432W	YLR432W	2.46	r_0565	BRENDA+phyldist (tier=2, wc=0, phyl_d=0, ec=1.1.1.205)	1
P00817	YBR011C	YBR011C	260.0	r_0568	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=3.6.1.1)	1
P28239	YMR267W	YMR267W	260.0	r_0569	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=3.6.1.1)	1
P52893	YLR089C	YLR089C	6.09	r_0674	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.6.1.2)	1
P38715	YHR104W	YHR104W	117.5	r_0688	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=1.1.1.-)	1
Q05016	YMR226C	YMR226C	11.0	r_0690	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=1.1.1.-)	1
P50107	YML004C	YML004C	1820.0	r_0697	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=4.4.1.5)	1
P26637	YPL160W	YPL160W	37.5	r_0701	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=6.1.1.4)	1
P11325	YLR382C	YLR382C	37.5	r_0702	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=6.1.1.4)	1
P29952	YER003C	YER003C	20.0	r_0723	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=5.3.1.8)	1
P05694	YER091C	YER091C	0.33	r_0727	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.1.1.14)	1
Q04066	YDR428C	YDR428C	161.0	r_0762	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=3.5.1.9)	1
Q06892	YPL188W	YPL188W	0.84	r_0766	BRENDA+phyldist (tier=2, wc=0, phyl_d=2, ec=2.7.1.86)	1
P38795	YHR074W	YHR074W	6.4	r_0768	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=6.3.5.1)	1
P38795	YHR074W	YHR074W	6.4	r_0769	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=6.3.5.1)	1
Q06892	YPL188W	YPL188W	16.1	r_0772	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.7.1.86)	1
P53184	YGL037C	YGL037C	3.8	r_0781	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=3.5.1.19)	1
Q05874	YLR285W	YLR285W	7.0	r_0782	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.1.1.-)	1
P36010	YKL067W	YKL067W	13.3	r_0799	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.7.4.6)	1
P32621	YEL042W	YEL042W	3830.0	r_0810	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=3.6.1.42)	1
P31373	YAL012W	YAL012W	0.15	r_0815	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=4.4.1.1)	1
P15624	YLR060W	YLR060W	603.0	r_0852	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=6.1.1.20)	1
P08425	YPR047W	YPR047W	603.0	r_0853	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=6.1.1.20)	1
P00912	YDR007W	YDR007W	69.0	r_0913	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=5.3.1.24)	1
P38992	YDR297W	YDR297W	900.0	r_0922	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=1.-.-.-)	1
P50264	YMR020W	YMR020W	39.0	r_0937	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=1.5.3.17)	1
P38708	YHR020W	YHR020W	5.6	r_0941	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=6.1.1.15)	1
P38075	YBR035C	YBR035C	0.103	r_0954	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=1.4.3.5)	1
P38075	YBR035C	YBR035C	0.7	r_0955	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=1.4.3.5)	1
Q05779	YLR201C	YLR201C	1.36	r_0963	BRENDA+phyldist (tier=2, wc=0, phyl_d=2, ec=1.14.13.-)	1
Q03778	YDR236C	YDR236C	0.1	r_0965	BRENDA+phyldist (tier=2, wc=0, phyl_d=2, ec=2.7.1.26)	1
Q03778	YDR236C	YDR236C	0.1	r_0966	BRENDA+phyldist (tier=2, wc=0, phyl_d=2, ec=2.7.1.26)	1
P25087	YML008C	YML008C	0.011	r_0986	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.1.1.41)	1
P38705	YHR011W	YHR011W	3.9	r_0995	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=6.1.1.11)	1
P08566	YDR127W	YDR127W	1.5	r_0997	BRENDA+phyldist (tier=2, wc=0, phyl_d=2, ec=1.1.1.25)	1
P29704	YHR190W	YHR190W	3.3	r_1012	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.5.1.21)	1
P00724	YIL162W	YIL162W	3430.0	r_1024	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=3.2.1.26)	1
P08536	YJR010W	YJR010W	24.4	r_1025	BRENDA+phyldist (tier=2, wc=0, phyl_d=2, ec=2.7.7.4)	1
Q12358	YLL057C	YLL057C	67.0	r_1029	BRENDA+phyldist (tier=2, wc=0, phyl_d=2, ec=1.14.11.-)	1
P22803	YGR209C	YGR209C	33.3	r_1038	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=1.8.1.9)	1
P38816	YHR106W	YHR106W	33.3	r_1039	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=1.8.1.9)	1
P37303	YEL046C	YEL046C	43.0	r_1040	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=4.1.2.48)	1
P04801	YIL078W	YIL078W	3.32	r_1042	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=6.1.1.3)	1
P07236	YKL194C	YKL194C	3.32	r_1043	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=6.1.1.3)	1
P18900	YBR003W	YBR003W	0.037	r_1047	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.5.1.-)	1
P36421	YGR185C	YGR185C	4.6	r_1066	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=6.1.1.1)	1
P48527	YPL097W	YPL097W	4.6	r_1067	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=6.1.1.1)	1
Q07993	YLR070C	YLR070C	170.0	r_1092	BRENDA+phyldist (tier=2, wc=0, phyl_d=0, ec=1.1.1.9)	1
P38715	YHR104W	YHR104W	117.5	r_1093	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=1.1.1.-)	1
P42826	YGR194C	YGR194C	0.64	r_1094	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.7.1.17)	1
Q12447	YDR071C	YDR071C	1.6	r_1739	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.3.1.-)	1
P38225	YBR041W	YBR041W	0.026	r_1835	BRENDA+phyldist (tier=2, wc=0, phyl_d=2, ec=6.2.1.-)	1
